sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,0,total_valid_votes,rejected_votes,total,tendered_votes
55,36,55,0,243,28,0,126,435,0,2,0,0,0,1,1,1,0,3,837,0,840,0
56,36,56,0,170,16,3,348,355,1,3,0,0,1,2,3,1,2,3,905,0,908,0
57,36,57,0,165,18,2,170,226,0,1,0,0,1,1,0,0,0,3,584,0,587,0
58,36,58,0,205,14,0,186,310,0,0,1,1,0,1,0,1,1,3,720,0,723,0
59,36,59,0,114,9,0,453,115,0,0,0,0,0,1,2,0,1,0,695,0,695,0
60,36,60,0,233,15,7,300,292,0,2,0,1,1,4,3,1,2,2,861,0,863,0
61,36,61,0,190,23,2,90,288,2,1,0,0,0,2,0,1,1,6,600,0,606,0
62,36,62,0,217,26,1,184,460,1,0,0,0,0,2,5,3,1,5,900,0,905,0
63,36,63,0,125,17,1,269,286,0,0,0,1,0,5,1,0,0,1,705,0,706,0
64,36,64,0,203,29,0,316,390,1,1,1,1,1,2,2,2,1,3,950,0,953,0
65,36,65,0,232,18,0,154,299,1,0,0,0,0,1,1,0,0,1,706,0,707,0
66,36,66,0,218,26,1,159,520,2,0,1,0,0,2,0,3,0,4,932,0,936,0
67,36,67,0,157,21,2,222,275,0,0,1,0,0,4,2,0,1,3,685,0,688,0
68,36,68,0,168,25,0,107,151,1,1,0,0,0,0,0,0,0,1,453,0,454,0
69,36,69,0,168,26,1,112,259,0,1,0,0,0,1,0,0,0,2,568,0,570,0
70,36,70,0,127,17,2,126,168,0,1,0,0,0,0,2,1,0,0,444,0,444,0
71,36,71,0,296,43,1,153,405,1,1,2,0,0,1,0,0,1,3,904,0,907,0
72,36,72,0,302,30,0,134,514,3,3,0,0,0,0,1,0,2,2,989,0,991,0
73,36,73,0,482,23,1,74,408,1,0,0,0,0,1,0,0,0,5,990,0,995,0
74,36,74,0,277,23,1,236,426,1,1,1,0,1,2,0,1,0,2,970,0,972,0
75,36,75,0,284,19,0,58,348,1,1,1,0,0,1,2,1,1,3,717,0,720,0
76,36,76,0,234,18,1,96,376,0,0,0,1,0,1,0,0,0,2,727,0,729,0
77,36,77,0,152,22,1,384,165,0,2,0,1,1,3,3,0,0,2,734,0,736,0
78,36,78,0,111,6,1,289,86,0,0,0,0,0,1,0,1,0,1,495,0,496,0
79,36,79,0,164,13,3,548,145,0,1,0,0,0,3,0,0,3,0,880,0,880,0
80,36,80,0,220,8,0,134,144,0,0,0,0,0,1,1,0,0,2,508,0,510,0
81,36,81,0,235,18,0,212,159,0,0,0,0,2,2,1,0,2,5,631,0,636,0
82,36,82,0,317,18,1,254,344,1,1,0,0,0,0,4,0,0,1,940,0,941,0
83,36,83,0,309,13,3,118,361,3,0,0,1,0,3,4,0,0,9,815,0,824,0
84,36,84,0,250,18,0,213,326,0,1,0,0,0,1,1,1,2,4,813,0,817,0
85,36,85,0,328,22,0,135,355,1,1,0,0,0,2,0,0,3,4,847,0,851,0
86,36,86,0,210,9,2,63,390,0,1,0,0,0,4,2,2,1,4,684,0,688,0
87,36,87,0,87,2,1,153,93,0,0,0,0,0,1,1,0,0,1,338,0,339,0
88,36,88,0,236,22,2,60,415,0,1,0,0,0,2,1,0,0,3,739,0,742,0
89,36,89,0,285,19,0,74,300,0,0,0,2,0,1,1,1,0,0,683,0,683,0
90,36,90,0,361,25,0,93,359,0,0,0,0,2,1,1,0,1,0,843,0,843,0
91,36,91,0,157,5,2,343,142,0,1,0,0,0,2,0,0,0,1,652,0,653,0
92,36,92,0,244,26,1,243,322,0,0,0,0,0,1,3,2,2,4,844,0,848,0
