sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,0,total_valid_votes,rejected_votes,total,tendered_votes
226,106,226,0,27,181,345,6,259,1,0,1,0,2,0,2,3,0,1,1,0,1,5,830,0,835,0
227,106,227,0,32,188,459,7,358,1,0,0,0,1,1,2,1,3,0,2,0,3,3,1058,0,1061,0
228,106,228,0,5,174,81,7,337,0,2,0,0,0,1,4,1,4,1,5,0,3,2,625,0,627,0
229,106,229,0,15,119,299,4,228,0,0,0,1,0,0,2,1,3,3,3,1,0,2,679,0,681,0
230,106,230,0,39,202,319,2,380,1,1,0,0,0,2,4,1,6,0,2,0,3,5,962,0,967,0
231,106,231,0,20,187,70,0,154,2,0,0,0,0,0,0,0,0,1,2,0,4,1,440,0,441,0
232,106,232,0,51,284,233,4,400,2,1,0,1,2,1,3,5,2,5,4,3,3,4,1004,0,1008,0
233,106,233,0,29,138,212,0,197,0,0,1,1,0,0,2,1,1,2,1,1,0,1,586,0,587,0
234,106,234,0,22,150,153,2,246,5,0,1,0,0,0,0,0,1,1,3,1,1,5,586,0,591,0
235,106,235,0,14,137,268,1,255,0,0,2,0,0,0,0,0,2,2,1,1,0,0,683,0,683,0
236,106,236,0,29,109,357,4,312,3,1,0,1,0,2,4,4,4,1,4,1,1,3,837,0,840,0
237,106,237,0,15,111,99,1,205,1,1,0,0,0,0,0,0,0,0,0,1,1,0,435,0,435,0
238,106,238,0,51,219,153,3,427,2,1,0,0,1,1,4,1,1,4,3,2,5,1,878,0,879,0
239,106,239,0,16,87,350,7,148,0,1,0,0,0,0,0,2,2,2,3,0,0,2,618,0,620,0
240,106,240,0,23,152,350,7,281,0,0,1,1,0,1,5,3,4,2,0,1,2,2,833,0,835,0
