sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,total_valid_votes,rejected_votes,total,tendered_votes
180,18,180,0,1,127,3,17,158,2,0,1,0,0,3,0,0,0,1,1,0,0,0,0,1,0,0,0,315,0,0,0
181,18,181,0,1,220,5,14,224,3,0,0,0,0,4,1,0,0,1,1,0,0,0,0,0,0,0,0,474,0,2,0
182,18,182,0,2,223,16,35,367,3,0,0,0,0,1,2,1,0,0,1,2,3,0,0,0,2,0,0,658,0,0,0
183,18,183,0,1,108,8,12,124,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,3,0,0,0,262,0,0,0
184,18,184,0,0,155,5,27,153,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,346,0,0,0
185,18,185,0,1,332,18,31,320,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,706,0,3,0
186,18,186,0,1,311,10,61,351,3,1,0,0,0,3,0,1,0,1,1,0,1,0,1,0,0,0,0,746,0,2,0
187,18,187,0,1,461,5,32,197,5,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,706,0,5,0
188,18,188,0,2,389,16,32,230,3,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,676,0,2,0
189,18,189,0,0,434,12,40,193,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,685,0,4,0
190,18,190,0,1,413,10,31,149,1,0,1,1,0,0,0,1,1,0,2,0,0,0,0,1,2,1,0,615,0,2,0
191,18,191,0,1,390,18,73,286,3,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,775,0,4,0
192,18,192,0,2,453,18,46,213,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,738,0,1,0
193,18,193,0,231,45073,1598,17191,33426,289,76,63,21,18,197,28,20,34,30,108,56,73,10,46,53,16,26,0,98683,0,600,0
194,18,194,0,232,45254,1607,17256,33504,291,76,65,22,18,197,28,20,34,30,108,56,73,10,46,53,16,26,0,99022,12,600,0
